Data;1 - Taxa de câmbio - Livre - Dólar americano (venda) - diário - u.m.c./US$
18/05/2005;2,4636
19/05/2005;2,4458
20/05/2005;2,4493
23/05/2005;2,4299
24/05/2005;2,4313
25/05/2005;2,4116
27/05/2005;2,3934
30/05/2005;2,3784
31/05/2005;2,4038
01/06/2005;2,4286
02/06/2005;2,4202
03/06/2005;2,4029
06/06/2005;2,4576
07/06/2005;2,4632
08/06/2005;2,4464
09/06/2005;2,4891
10/06/2005;2,4751
13/06/2005;2,4562
14/06/2005;2,4375
15/06/2005;2,4455
16/06/2005;2,4161
17/06/2005;2,3873
20/06/2005;2,3855
21/06/2005;2,3772
22/06/2005;2,3703
23/06/2005;2,3932
24/06/2005;2,3877
27/06/2005;2,383
28/06/2005;2,3694
29/06/2005;2,3549
30/06/2005;2,3504
01/07/2005;2,3459
04/07/2005;2,3715
05/07/2005;2,3668
06/07/2005;2,3901
07/07/2005;2,389
08/07/2005;2,3683
11/07/2005;2,3502
12/07/2005;2,3353
13/07/2005;2,3482
14/07/2005;2,3433
15/07/2005;2,3427
18/07/2005;2,3304
19/07/2005;2,3434
20/07/2005;2,3522
21/07/2005;2,3405
22/07/2005;2,3761
25/07/2005;2,4287
26/07/2005;2,4656
27/07/2005;2,4439
28/07/2005;2,4211
29/07/2005;2,3905
01/08/2005;2,3785
02/08/2005;2,353
03/08/2005;2,3151
04/08/2005;2,3054
05/08/2005;2,2986
08/08/2005;2,31
09/08/2005;2,3151
10/08/2005;2,2767
11/08/2005;2,3169
12/08/2005;2,3758
15/08/2005;2,3422
16/08/2005;2,3442
17/08/2005;2,3492
18/08/2005;2,3637
19/08/2005;2,4316
22/08/2005;2,4028
23/08/2005;2,4097
24/08/2005;2,4235
25/08/2005;2,4203
26/08/2005;2,4129
29/08/2005;2,3995
30/08/2005;2,3861
31/08/2005;2,3637
01/09/2005;2,3623
02/09/2005;2,3429
05/09/2005;2,3295
06/09/2005;2,3262
08/09/2005;2,3198
09/09/2005;2,3175
12/09/2005;2,3197
13/09/2005;2,3269
14/09/2005;2,33
15/09/2005;2,3012
16/09/2005;2,2937
19/09/2005;2,2905
20/09/2005;2,2948
21/09/2005;2,2827
22/09/2005;2,2752
23/09/2005;2,2682
26/09/2005;2,2583
27/09/2005;2,2533
28/09/2005;2,2433
29/09/2005;2,2244
30/09/2005;2,2222
03/10/2005;2,2339
04/10/2005;2,2424
05/10/2005;2,2685
06/10/2005;2,2886
07/10/2005;2,263
10/10/2005;2,2384
11/10/2005;2,2351
13/10/2005;2,2627
14/10/2005;2,2511
17/10/2005;2,2352
18/10/2005;2,2405
19/10/2005;2,2535
20/10/2005;2,2443
21/10/2005;2,2546
24/10/2005;2,2623
25/10/2005;2,2618
26/10/2005;2,2746
27/10/2005;2,2851
28/10/2005;2,2791
31/10/2005;2,2543
01/11/2005;2,2516
03/11/2005;2,2336
04/11/2005;2,2231
07/11/2005;2,2013
08/11/2005;2,2032
09/11/2005;2,1717
10/11/2005;2,1757
11/11/2005;2,1633
14/11/2005;2,199
16/11/2005;2,1974
17/11/2005;2,1866
18/11/2005;2,2187
21/11/2005;2,2181
22/11/2005;2,2511
23/11/2005;2,238
24/11/2005;2,237
25/11/2005;2,2329
28/11/2005;2,2094
29/11/2005;2,198
30/11/2005;2,207
01/12/2005;2,2177
02/12/2005;2,2061
05/12/2005;2,1968
06/12/2005;2,1807
07/12/2005;2,18
08/12/2005;2,2127
09/12/2005;2,2446
12/12/2005;2,2634
13/12/2005;2,2565
14/12/2005;2,2779
15/12/2005;2,2957
16/12/2005;2,3356
19/12/2005;2,3735
20/12/2005;2,3497
21/12/2005;2,3168
22/12/2005;2,3254
23/12/2005;2,3327
26/12/2005;2,3325
27/12/2005;2,3526
28/12/2005;2,3483
29/12/2005;2,3407
30/12/2005;2,3407
02/01/2006;2,337
03/01/2006;2,346
04/01/2006;2,3066
05/01/2006;2,2825
06/01/2006;2,287
09/01/2006;2,2632
10/01/2006;2,2638
11/01/2006;2,2679
12/01/2006;2,2729
13/01/2006;2,2747
16/01/2006;2,2762
17/01/2006;2,2924
18/01/2006;2,3276
19/01/2006;2,3225
20/01/2006;2,2756
23/01/2006;2,2609
24/01/2006;2,244
25/01/2006;2,2433
26/01/2006;2,2382
27/01/2006;2,2152
30/01/2006;2,2116
31/01/2006;2,216
01/02/2006;2,2217
02/02/2006;2,221
03/02/2006;2,2202
06/02/2006;2,1877
07/02/2006;2,1866
08/02/2006;2,1956
09/02/2006;2,1778
10/02/2006;2,1575
13/02/2006;2,1621
14/02/2006;2,1435
15/02/2006;2,1375
16/02/2006;2,1177
17/02/2006;2,1186
20/02/2006;2,1182
21/02/2006;2,1297
22/02/2006;2,1484
23/02/2006;2,1353
24/02/2006;2,1355
01/03/2006;2,1181
02/03/2006;2,1134
03/03/2006;2,1155
06/03/2006;2,1261
07/03/2006;2,1682
08/03/2006;2,1778
09/03/2006;2,1615
10/03/2006;2,1447
13/03/2006;2,1349
14/03/2006;2,1269
15/03/2006;2,1215
16/03/2006;2,1067
17/03/2006;2,1188
20/03/2006;2,1386
21/03/2006;2,1591
22/03/2006;2,1553
23/03/2006;2,1506
24/03/2006;2,1628
27/03/2006;2,1804
28/03/2006;2,2238
29/03/2006;2,2228
30/03/2006;2,1952
31/03/2006;2,1724
03/04/2006;2,1542
04/04/2006;2,1293
05/04/2006;2,1344
06/04/2006;2,1299
07/04/2006;2,1409
10/04/2006;2,1522
11/04/2006;2,142
12/04/2006;2,1336
13/04/2006;2,1426
17/04/2006;2,1343
18/04/2006;2,1292
19/04/2006;2,1143
20/04/2006;2,1236
24/04/2006;2,1182
25/04/2006;2,1233
26/04/2006;2,1224
27/04/2006;2,1136
28/04/2006;2,0892
02/05/2006;2,0718
03/05/2006;2,0706
04/05/2006;2,0667
05/05/2006;2,0587
08/05/2006;2,0651
09/05/2006;2,0642
10/05/2006;2,0586
11/05/2006;2,0881
12/05/2006;2,1307
15/05/2006;2,1774
16/05/2006;2,1403
17/05/2006;2,1826
18/05/2006;2,1833
19/05/2006;2,193
22/05/2006;2,2883
23/05/2006;2,2601
24/05/2006;2,3711
25/05/2006;2,315
26/05/2006;2,252
29/05/2006;2,2566
30/05/2006;2,3235
31/05/2006;2,3005
01/06/2006;2,2713
02/06/2006;2,2595
05/06/2006;2,2557
06/06/2006;2,2686
07/06/2006;2,25
08/06/2006;2,2701
09/06/2006;2,2615
12/06/2006;2,2707
13/06/2006;2,3018
14/06/2006;2,2845
16/06/2006;2,2521
19/06/2006;2,2404
20/06/2006;2,2506
21/06/2006;2,2378
22/06/2006;2,2391
23/06/2006;2,2462
26/06/2006;2,2259
27/06/2006;2,2315
28/06/2006;2,2262
29/06/2006;2,2063
30/06/2006;2,1643
03/07/2006;2,1701
